[32m[I 2022-01-22 20:30:13,176][0m A new study created in memory with name: no-name-825e49d0-95e9-4327-ba43-857368d01008[0m
[32m[I 2022-01-22 20:33:30,902][0m Trial 0 finished with value: 106.58840942382812 and parameters: {'r_scaling': 6.2135740099051615, 'unroll': 7, 'update_epoch': 6, 'discount': 0.9869641577416857, 'lr': 0.00024385300173072433, 'entropy': 0.0027189373817437675}. Best is trial 0 with value: 106.58840942382812.[0m
[32m[I 2022-01-22 20:36:51,039][0m Trial 1 finished with value: 100.7916488647461 and parameters: {'r_scaling': 0.14965446102534527, 'unroll': 5, 'update_epoch': 8, 'discount': 0.9572987460169092, 'lr': 0.0004110091462766737, 'entropy': 0.0020321130725876393}. Best is trial 1 with value: 100.7916488647461.[0m
[32m[I 2022-01-22 20:40:23,025][0m Trial 2 finished with value: 99.72955322265625 and parameters: {'r_scaling': 27.146569747154505, 'unroll': 12, 'update_epoch': 7, 'discount': 0.9124093783321618, 'lr': 0.0004928145920776068, 'entropy': 0.0005461063256448095}. Best is trial 2 with value: 99.72955322265625.[0m
[32m[I 2022-01-22 20:43:41,173][0m Trial 3 finished with value: 102.65371704101562 and parameters: {'r_scaling': 0.41628175574494153, 'unroll': 10, 'update_epoch': 3, 'discount': 0.9574742021432465, 'lr': 0.0015933086284748309, 'entropy': 0.036919718483090586}. Best is trial 2 with value: 99.72955322265625.[0m
[32m[I 2022-01-22 20:46:36,830][0m Trial 4 finished with value: 98.40385437011719 and parameters: {'r_scaling': 1.7670681616181445, 'unroll': 13, 'update_epoch': 11, 'discount': 0.9687783108802662, 'lr': 0.0006681685139923385, 'entropy': 0.06185647831067825}. Best is trial 4 with value: 98.40385437011719.[0m
[32m[I 2022-01-22 20:49:57,815][0m Trial 5 finished with value: 105.56484985351562 and parameters: {'r_scaling': 0.1515707017962891, 'unroll': 4, 'update_epoch': 7, 'discount': 0.9901936990404178, 'lr': 0.0003294489346322581, 'entropy': 0.0002443446636620527}. Best is trial 4 with value: 98.40385437011719.[0m
[32m[I 2022-01-22 20:53:16,430][0m Trial 6 finished with value: 111.69671630859375 and parameters: {'r_scaling': 29.632137306251927, 'unroll': 3, 'update_epoch': 1, 'discount': 0.990243886297738, 'lr': 0.000363802609287026, 'entropy': 0.000392297467850775}. Best is trial 4 with value: 98.40385437011719.[0m
[32m[I 2022-01-22 20:56:38,599][0m Trial 7 finished with value: 104.6550521850586 and parameters: {'r_scaling': 93.40377496310957, 'unroll': 8, 'update_epoch': 13, 'discount': 0.9106432288758155, 'lr': 0.0011962702783965015, 'entropy': 0.015948149613208607}. Best is trial 4 with value: 98.40385437011719.[0m
[32m[I 2022-01-22 21:00:01,380][0m Trial 8 finished with value: 106.16183471679688 and parameters: {'r_scaling': 16.087383699641162, 'unroll': 7, 'update_epoch': 11, 'discount': 0.9631011413484948, 'lr': 0.001588671077369388, 'entropy': 0.0015878748249019477}. Best is trial 4 with value: 98.40385437011719.[0m
[32m[I 2022-01-22 21:02:56,193][0m Trial 9 finished with value: 96.68595886230469 and parameters: {'r_scaling': 0.2510029311341109, 'unroll': 6, 'update_epoch': 10, 'discount': 0.950803609534921, 'lr': 0.0015923541384445226, 'entropy': 0.024211593644021385}. Best is trial 9 with value: 96.68595886230469.[0m
[32m[I 2022-01-22 21:06:37,266][0m Trial 10 finished with value: -210.16473388671875 and parameters: {'r_scaling': 0.05419049300341281, 'unroll': 1, 'update_epoch': 15, 'discount': 0.9330613855809906, 'lr': 0.00010219580316791665, 'entropy': 0.012610024367677304}. Best is trial 10 with value: -210.16473388671875.[0m
[32m[I 2022-01-22 21:09:45,080][0m Trial 11 finished with value: -315.45184326171875 and parameters: {'r_scaling': 0.07905866051232649, 'unroll': 1, 'update_epoch': 15, 'discount': 0.9321222367779122, 'lr': 0.00011606942891689246, 'entropy': 0.011064028094557803}. Best is trial 11 with value: -315.45184326171875.[0m
[32m[I 2022-01-22 21:13:28,179][0m Trial 12 finished with value: 120.8472900390625 and parameters: {'r_scaling': 0.05681592340935077, 'unroll': 1, 'update_epoch': 15, 'discount': 0.9301666516021866, 'lr': 0.00011138995768409605, 'entropy': 0.008978559578840247}. Best is trial 11 with value: -315.45184326171875.[0m
[32m[I 2022-01-22 21:17:15,071][0m Trial 13 finished with value: 122.51121520996094 and parameters: {'r_scaling': 1.0274898193051418, 'unroll': 1, 'update_epoch': 15, 'discount': 0.9321022881766828, 'lr': 0.00010402379835338637, 'entropy': 0.00778503460432777}. Best is trial 11 with value: -315.45184326171875.[0m
[32m[I 2022-01-22 21:20:39,666][0m Trial 14 finished with value: 101.39207458496094 and parameters: {'r_scaling': 0.052332841968580124, 'unroll': 3, 'update_epoch': 13, 'discount': 0.9323677619099489, 'lr': 0.0001771586401073658, 'entropy': 0.0077900733024402705}. Best is trial 11 with value: -315.45184326171875.[0m
[32m[I 2022-01-22 21:24:01,285][0m Trial 15 finished with value: 95.455078125 and parameters: {'r_scaling': 0.7069451606853956, 'unroll': 15, 'update_epoch': 13, 'discount': 0.9215947484182057, 'lr': 0.00016731251154351618, 'entropy': 0.0045616556952336376}. Best is trial 11 with value: -315.45184326171875.[0m
[32m[I 2022-01-22 21:27:36,929][0m Trial 16 finished with value: 118.88363647460938 and parameters: {'r_scaling': 0.10743385134369479, 'unroll': 1, 'update_epoch': 15, 'discount': 0.901289274914981, 'lr': 0.00015116047371643412, 'entropy': 0.061794364672055214}. Best is trial 11 with value: -315.45184326171875.[0m
[32m[I 2022-01-22 21:31:01,076][0m Trial 17 finished with value: 100.50228118896484 and parameters: {'r_scaling': 4.056555720441513, 'unroll': 3, 'update_epoch': 10, 'discount': 0.9409214530042321, 'lr': 0.00022678541429362587, 'entropy': 0.01626383377844369}. Best is trial 11 with value: -315.45184326171875.[0m
[32m[I 2022-01-22 21:34:22,949][0m Trial 18 finished with value: 104.64579772949219 and parameters: {'r_scaling': 0.392574689225421, 'unroll': 9, 'update_epoch': 13, 'discount': 0.9430749493401763, 'lr': 0.00012517707301480403, 'entropy': 0.0008517329298253313}. Best is trial 11 with value: -315.45184326171875.[0m
[32m[I 2022-01-22 21:37:18,067][0m Trial 19 finished with value: 93.54669952392578 and parameters: {'r_scaling': 0.05485175704456351, 'unroll': 2, 'update_epoch': 4, 'discount': 0.9208456294046182, 'lr': 0.0007555501035915581, 'entropy': 0.00011526198530493673}. Best is trial 11 with value: -315.45184326171875.[0m
[32m[I 2022-01-22 21:40:35,546][0m Trial 20 finished with value: 106.44175720214844 and parameters: {'r_scaling': 168.40395998281886, 'unroll': 5, 'update_epoch': 14, 'discount': 0.9738299723741368, 'lr': 0.00021985008160022823, 'entropy': 0.08839717832954289}. Best is trial 11 with value: -315.45184326171875.[0m
[32m[I 2022-01-22 21:43:56,913][0m Trial 21 finished with value: 95.79931640625 and parameters: {'r_scaling': 0.0888905078392596, 'unroll': 2, 'update_epoch': 4, 'discount': 0.9218932411563932, 'lr': 0.0007988132168540387, 'entropy': 0.00010642173035497094}. Best is trial 11 with value: -315.45184326171875.[0m
[32m[I 2022-01-22 21:47:15,707][0m Trial 22 finished with value: 97.20182800292969 and parameters: {'r_scaling': 0.22827593122206122, 'unroll': 2, 'update_epoch': 4, 'discount': 0.9203333613780339, 'lr': 0.0008821825259009513, 'entropy': 0.004116005379743029}. Best is trial 11 with value: -315.45184326171875.[0m
[32m[I 2022-01-22 21:50:11,873][0m Trial 23 finished with value: 101.04560089111328 and parameters: {'r_scaling': 0.057234256960562314, 'unroll': 4, 'update_epoch': 5, 'discount': 0.9383711020736061, 'lr': 0.0005483702467837944, 'entropy': 0.00011239384962903555}. Best is trial 11 with value: -315.45184326171875.[0m
[32m[I 2022-01-22 21:53:33,945][0m Trial 24 finished with value: 103.63451385498047 and parameters: {'r_scaling': 0.10992589063349502, 'unroll': 2, 'update_epoch': 1, 'discount': 0.9126088254168337, 'lr': 0.0011120646614981686, 'entropy': 0.001094554136288863}. Best is trial 11 with value: -315.45184326171875.[0m
[32m[I 2022-01-22 21:57:06,244][0m Trial 25 finished with value: -49.24360656738281 and parameters: {'r_scaling': 0.3189853580538559, 'unroll': 1, 'update_epoch': 9, 'discount': 0.9272744439899675, 'lr': 0.0001484216267665117, 'entropy': 0.012509358437965426}. Best is trial 11 with value: -315.45184326171875.[0m
