[32m[I 2021-12-11 00:07:41,608][0m A new study created in memory with name: no-name-084afed4-b5e2-4175-821c-296985fe5515[0m
[32m[I 2021-12-11 00:10:51,627][0m Trial 0 finished with value: -444.78350830078125 and parameters: {'r_scaling': 151.66924086328117, 'unroll': 12, 'update_epoch': 7, 'discount': 0.9043062343302866, 'lr': 0.0003135581060580007, 'entropy': 0.00010907351151162438}. Best is trial 0 with value: -444.78350830078125.[0m
[32m[I 2021-12-11 00:13:52,629][0m Trial 1 finished with value: -319.9524230957031 and parameters: {'r_scaling': 45.46890571583326, 'unroll': 8, 'update_epoch': 7, 'discount': 0.988922239063729, 'lr': 0.0008074783775505646, 'entropy': 0.0026604806062881722}. Best is trial 0 with value: -444.78350830078125.[0m
[32m[I 2021-12-11 00:16:55,147][0m Trial 2 finished with value: -319.06768798828125 and parameters: {'r_scaling': 30.57562744762223, 'unroll': 9, 'update_epoch': 2, 'discount': 0.9191003846092468, 'lr': 0.00019674286519007772, 'entropy': 0.005015517772754112}. Best is trial 0 with value: -444.78350830078125.[0m
[32m[I 2021-12-11 00:20:47,058][0m Trial 3 finished with value: -883.6776733398438 and parameters: {'r_scaling': 0.15896979666523106, 'unroll': 4, 'update_epoch': 15, 'discount': 0.9110354674595861, 'lr': 0.00014850162990165148, 'entropy': 0.006468566997731247}. Best is trial 3 with value: -883.6776733398438.[0m
[32m[I 2021-12-11 00:24:12,398][0m Trial 4 finished with value: -501.64166259765625 and parameters: {'r_scaling': 3.6963724457091693, 'unroll': 6, 'update_epoch': 8, 'discount': 0.9525182308188457, 'lr': 0.0005337883652684559, 'entropy': 0.0024112883458699075}. Best is trial 3 with value: -883.6776733398438.[0m
[32m[I 2021-12-11 00:27:21,534][0m Trial 5 finished with value: -428.3525695800781 and parameters: {'r_scaling': 90.80332793642788, 'unroll': 8, 'update_epoch': 7, 'discount': 0.9123700696613433, 'lr': 0.0002961119849395928, 'entropy': 0.00043218175960295276}. Best is trial 3 with value: -883.6776733398438.[0m
[32m[I 2021-12-11 00:30:35,483][0m Trial 6 finished with value: -453.3834228515625 and parameters: {'r_scaling': 1.5592430354854574, 'unroll': 10, 'update_epoch': 5, 'discount': 0.905236263599839, 'lr': 0.00017986522148334593, 'entropy': 0.0028613896035257587}. Best is trial 3 with value: -883.6776733398438.[0m
[32m[I 2021-12-11 00:33:55,656][0m Trial 7 finished with value: -419.2199401855469 and parameters: {'r_scaling': 2.2062715340965022, 'unroll': 15, 'update_epoch': 2, 'discount': 0.9923961124749167, 'lr': 0.000126481563099874, 'entropy': 0.0002915917485808499}. Best is trial 3 with value: -883.6776733398438.[0m
[32m[I 2021-12-11 00:37:56,438][0m Trial 8 finished with value: -298.6494445800781 and parameters: {'r_scaling': 0.8167862520533102, 'unroll': 2, 'update_epoch': 8, 'discount': 0.9602614748699145, 'lr': 0.0016333257720481148, 'entropy': 0.0005626185051981994}. Best is trial 3 with value: -883.6776733398438.[0m
[32m[I 2021-12-11 00:41:19,082][0m Trial 9 finished with value: -706.2805786132812 and parameters: {'r_scaling': 0.3089313490088024, 'unroll': 4, 'update_epoch': 2, 'discount': 0.9285600293515425, 'lr': 0.0010893255673083985, 'entropy': 0.0004830569989533799}. Best is trial 3 with value: -883.6776733398438.[0m
[32m[I 2021-12-11 00:46:26,661][0m Trial 10 finished with value: -423.0445251464844 and parameters: {'r_scaling': 0.06394712789600128, 'unroll': 1, 'update_epoch': 15, 'discount': 0.9349419890045214, 'lr': 0.00010192242883316783, 'entropy': 0.05761340523651895}. Best is trial 3 with value: -883.6776733398438.[0m
[32m[I 2021-12-11 00:50:02,010][0m Trial 11 finished with value: -644.4315795898438 and parameters: {'r_scaling': 0.10015145509650325, 'unroll': 6, 'update_epoch': 14, 'discount': 0.9295872185675379, 'lr': 0.001338405589401899, 'entropy': 0.013083578124564767}. Best is trial 3 with value: -883.6776733398438.[0m
[32m[I 2021-12-11 00:53:50,137][0m Trial 12 finished with value: -1014.0994262695312 and parameters: {'r_scaling': 0.4623152090027421, 'unroll': 4, 'update_epoch': 12, 'discount': 0.931202029081114, 'lr': 0.0007904431684964376, 'entropy': 0.013530202323882357}. Best is trial 12 with value: -1014.0994262695312.[0m
[32m[I 2021-12-11 00:57:45,013][0m Trial 13 finished with value: -927.2659301757812 and parameters: {'r_scaling': 0.2343569869355972, 'unroll': 4, 'update_epoch': 12, 'discount': 0.9410021484772059, 'lr': 0.0006345446030862503, 'entropy': 0.025913431483697656}. Best is trial 12 with value: -1014.0994262695312.[0m
[32m[I 2021-12-11 01:01:41,901][0m Trial 14 finished with value: -1173.4666748046875 and parameters: {'r_scaling': 0.4493424928947484, 'unroll': 4, 'update_epoch': 12, 'discount': 0.9649157851866043, 'lr': 0.0006821585106689328, 'entropy': 0.05878645344121862}. Best is trial 14 with value: -1173.4666748046875.[0m
[32m[I 2021-12-11 01:05:26,567][0m Trial 15 finished with value: -684.5613403320312 and parameters: {'r_scaling': 7.733713997256009, 'unroll': 6, 'update_epoch': 11, 'discount': 0.9690901162309381, 'lr': 0.0008386077047084742, 'entropy': 0.09522315819968605}. Best is trial 14 with value: -1173.4666748046875.[0m
[32m[I 2021-12-11 01:09:32,007][0m Trial 16 finished with value: -1399.743408203125 and parameters: {'r_scaling': 0.5511165593785848, 'unroll': 2, 'update_epoch': 11, 'discount': 0.972536013255989, 'lr': 0.00039585974824791185, 'entropy': 0.029254760415861544}. Best is trial 16 with value: -1399.743408203125.[0m
[32m[I 2021-12-11 01:13:25,733][0m Trial 17 finished with value: -617.39501953125 and parameters: {'r_scaling': 7.883702538009878, 'unroll': 2, 'update_epoch': 10, 'discount': 0.9753005430362701, 'lr': 0.00036623269307918885, 'entropy': 0.031820611428847}. Best is trial 16 with value: -1399.743408203125.[0m
